Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;Referee;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;Season;Month;DayOfWeek;Total Goles;Resultado;Total Shots;Total Shots on Target;Total Corners
1993-08-14;Arsenal;Coventry;0;3;A;1.0;0.0;H;Unknown;18.0;6.0;13.0;2.0;5.0;13.0;8.0;4.0;1.0;2.0;0.0;0.0;1993;8;Saturday;3;Victoria Visitante;24.0;15.0;12.0
1993-08-14;Aston Villa;QPR;4;1;H;1.0;1.0;D;Unknown;21.0;11.0;7.0;5.0;8.0;12.0;9.0;3.0;0.0;2.0;0.0;0.0;1993;8;Saturday;5;Victoria Local;28.0;17.0;12.0
1993-08-14;Chelsea;Blackburn;1;2;A;1.0;0.0;H;Unknown;18.0;6.0;10.0;4.0;11.0;11.0;7.0;2.0;1.0;2.0;0.0;0.0;1993;8;Saturday;3;Victoria Visitante;24.0;14.0;10.0
1993-08-14;Liverpool;Sheffield Weds;2;0;H;0.0;0.0;D;Unknown;13.0;10.0;6.0;4.0;11.0;12.0;6.0;4.0;1.0;2.0;0.0;0.0;1993;8;Saturday;2;Victoria Local;24.0;10.0;11.0
1993-08-14;Man City;Leeds;1;1;D;0.0;0.0;D;Unknown;18.5;5.0;6.5;3.0;8.0;13.5;8.0;4.0;0.5;3.0;0.0;0.0;1993;8;Saturday;2;Empate;23.5;9.0;11.5
1993-08-14;Newcastle;Tottenham;0;1;A;1.0;0.0;H;Unknown;13.0;11.0;6.0;5.0;11.0;12.0;5.0;5.0;2.0;2.0;0.0;0.0;1993;8;Saturday;1;Victoria Visitante;26.0;11.0;10.0
1993-08-14;Oldham;Ipswich;0;3;A;1.0;0.0;H;Unknown;12.0;9.0;6.0;3.0;12.0;13.0;6.0;4.0;1.0;1.0;0.0;0.0;1993;8;Saturday;3;Victoria Visitante;22.0;9.0;11.0
1993-08-14;Sheffield United;Swindon;3;1;H;0.0;0.0;D;Unknown;13.0;10.0;6.0;4.0;11.0;12.0;6.0;4.0;1.0;2.0;0.0;0.0;1993;8;Saturday;4;Victoria Local;24.0;10.0;11.0
1993-08-14;Southampton;Everton;0;2;A;0.0;0.0;D;Unknown;14.0;10.0;5.0;4.0;12.0;12.0;5.0;6.0;1.0;2.0;0.0;0.0;1993;8;Saturday;2;Victoria Visitante;24.0;8.0;11.0
1993-08-14;West Ham;Wimbledon;0;2;A;1.0;0.0;H;Unknown;13.0;10.0;6.0;4.0;11.0;12.0;6.0;4.0;1.0;2.0;0.0;0.0;1993;8;Saturday;2;Victoria Visitante;24.0;10.0;11.0
